neighbourhood,TotalHostListing,Price,All,OneToFour,5-8cap,MoreThanNine,ratingHighest ,ratingLowest,medianRating,rm_entire house/apartment,rm_private room,rm_shared room,longtitude,latitude
Sydney,1597,242.6925837,77,81,65,48,5,1,4.63,4.556085357,4.354541872,4.035,151.2093,-33.8688
Waverley,890,319.1672556,87,76,99,107,5,1,4.6,4.564699599,4.109219858,2.849375,151.2548,-33.9026
Randwick,556,261.3801802,76,59,72,143,5,1,4.5,4.562070707,4.142928571,3.607777778,151.242,-33.9132
Pittwater,384,905.5181058,114,97,146,164,5,1,4.82,4.765111773,4.812432432,#DIV/0!,151.3016,-33.6291
Manly,376,389.2276215,97,81,98,132,5,1,4.67,4.621898148,4.199587629,1,151.285,-33.7969
Warringah,361,365.566092,75,71,80,101,5,1,4.75,4.644930876,4.428380952,#DIV/0!,151.2102,-33.6642
Woollahra,278,479.4535316,85,97,118,263,5,1,4.5,4.563175,4.366575342,4.655,151.2372,-33.8884
North Sydney,248,264.1778656,77,78,76,140,5,2,4.67,4.574223195,4.547709924,#DIV/0!,151.2073,-33.8368
Marrickville,198,138.2037915,59,51,44,34,5,1,4.62,4.57752322,4.367142857,4.375,151.1564,-33.9106
Leichhardt,165,268.373494,62,63,63,104,5,2,4.7,4.611477987,4.536888889,#DIV/0!,151.157,-33.8837
